name,type,part_id,thickness,porosity,porosity_noise,permeability,permeability_noise,alpha,refdir1,refdir2,refdir3,porosity_1,p_1
base,base,1,2.2e-3,0.410,0.0,8.14e-11,0.0,1,1,0,0,0.458,0.60e5
central_inlet,inlet,2,2.2e-3,0.410,0.0,8.14e-11,0.0,1,1,0,0,0.458,0.60e5
